Sample,abstract,source_llm,story_id,story_text,review_criterion,human_label,auto_label,annotator_decision,review_flag,actual_flag,row_type,partner_story_ids,human_partner_label,ensemble_confidence,fired_models,llm_justification
original,A1,Gemini_1.5_flash,US1,"As a driver, I want a car that uses AI and real-time data to react faster than humans in emergency situations, reducing my risk of accidents.",unique,0,1,1.0,REVISED:missed,REVISED:missed,FLAGGED,US3,,0.667,Son+GPT120b,"[Sonnet] [purposeIsMeans] US1's end (reducing accident risk via AI reaction speed) is partially achieved through US3's means (developing AVs with advanced sensors and AI algorithms for safe driving decisions). US3's feature is the technical enabler of US1's goal. (with ['US3']) || [GPT-120b] [overlapping_ends] The end goals of US1 and US3 overlap (enhanced safety), but the means differ (faster emergency reaction vs. accurate perception and decision‑making). This is a type‑3 uniqueness violation. (with ['US3'])"
original,A1,Gemini_1.5_flash,US3,"As a car manufacturer, I want to develop AVs with advanced sensors and AI algorithms that can accurately perceive their surroundings and make safe driving decisions.",unique,1,1,1.0,REVISED:missed,OK,PARTNER,US1,,0.667,Son+GPT120b,"[Sonnet] [purposeIsMeans] US1's end (reducing accident risk via AI reaction speed) is partially achieved through US3's means (developing AVs with advanced sensors and AI algorithms for safe driving decisions). US3's feature is the technical enabler of US1's goal. (with ['US1']) || [GPT-120b] [overlapping_ends] The end goals of US1 and US3 overlap (enhanced safety), but the means differ (faster emergency reaction vs. accurate perception and decision‑making). This is a type‑3 uniqueness violation. (with ['US1'])"
original,A1,Llama 3.1 70b,US2,"As an engineer, I want to design and develop Internet of Things (IoT) infrastructure that can collect and process data from various sources, including storage, actuation, sensing, advanced services, and communication technologies, so that I can enable the transformation towards fully smart Autonomous Vehicles (AVs).",unique,0,1,1.0,REVISED:missed,REVISED:missed,FLAGGED,US8,,1.0,Son+DSv3+GPT120b,"[Sonnet] [overlapping_ends] US2 (engineer) wants to design and develop IoT infrastructure to enable transformation towards AVs, while US8 (developer) wants to design and develop AI-powered AVs that process large-scale sensor data. Both involve designing/developing technical AV infrastructure with overlapping means (IoT/AI, sensors/devices) and ends (efficie || [DeepSeek-V3.2] [semantic_duplicate] Both stories have semantically equivalent means: 'design and develop AI-powered/IoT infrastructure for AVs that process data from sensors/devices'. The roles are different but the core feature request is the same. (with ['US8'])"
original,A1,Llama 3.1 70b,US8,"As a developer, I want to design and develop AI-powered Autonomous Vehicles (AVs) that can process large-scale data from sensors and devices, so that I can create a more efficient and reliable transportation system.",unique,1,1,1.0,REVISED:missed,OK,PARTNER,US2,,1.0,Son+DSv3+GPT120b,"[Sonnet] [overlapping_ends] US2 (engineer) wants to design and develop IoT infrastructure to enable transformation towards AVs, while US8 (developer) wants to design and develop AI-powered AVs that process large-scale sensor data. Both involve designing/developing technical AV infrastructure with overlapping means (IoT/AI, sensors/devices) and ends (efficie || [DeepSeek-V3.2] [semantic_duplicate] Both stories have semantically equivalent means: 'design and develop AI-powered/IoT infrastructure for AVs that process data from sensors/devices'. The roles are different but the core feature request is the same. (with ['US2'])"
original,A1,O1_mini,US4,"As a transportation executive, I want the AV to optimize fuel consumption with AI, so that operational costs are minimized.
",unique,0,1,1.0,REVISED:missed,REVISED:missed,FLAGGED,US7,,1.0,Son+DSv3+GPT120b,"[Sonnet] [overlapping ends] Both stories use AI route/consumption optimization as means. While the ends differ (cost vs. environment), the underlying feature (AI-based route/fuel optimization) is substantially overlapping, creating a 'same feature, different rationale' pattern. (with ['US7']) || [DeepSeek-V3.2] [overlapping ends] Different means (US4: optimize fuel consumption, US7: reduce emissions via optimized routes) but overlapping ends (minimize operational costs / contribute to cleaner environment). Both actions likely contribute to similar high-level business/environmental goals, creating potential feature overlap or conflict in prioritization. (w"
original,A1,O1_mini,US7,"As an environmental advocate, I want the AV to reduce emissions through AI-optimized routes, so that it contributes to a cleaner environment.
",unique,0,1,1.0,REVISED:missed,REVISED:missed,PARTNER,US4,,1.0,Son+DSv3+GPT120b,"[Sonnet] [overlapping ends] Both stories use AI route/consumption optimization as means. While the ends differ (cost vs. environment), the underlying feature (AI-based route/fuel optimization) is substantially overlapping, creating a 'same feature, different rationale' pattern. (with ['US4']) || [DeepSeek-V3.2] [overlapping ends] Different means (US4: optimize fuel consumption, US7: reduce emissions via optimized routes) but overlapping ends (minimize operational costs / contribute to cleaner environment). Both actions likely contribute to similar high-level business/environmental goals, creating potential feature overlap or conflict in prioritization. (w"
original,A1,O1_mini,US2,"As a fleet manager, I want to monitor AV performance data via IoT, so that I can proactively manage maintenance.
",uniform,0,1,0.0,REVISED:missed,REVISED:missed,FLAGGED,,,1.0,GPT120b,
original,A1,Gemini_1.5_flash,US6,"As a busy professional, I want an AV that can take me to meetings or appointments while I work on other tasks, saving me valuable time.",problem_oriented,0,1,0.0,REVISED:missed,REVISED:missed,FLAGGED,,,1.0,GPT120b,
original,A1,Gemini_1.5_flash,US3,"As a car manufacturer, I want to develop AVs with advanced sensors and AI algorithms that can accurately perceive their surroundings and make safe driving decisions.",independent,0,0,1.0,REVISED:missed,OK,PARTNER,US4,,1.0,,
original,A1,Gemini_1.5_flash,US4,"As a blind or visually impaired person, I want an AV that can safely navigate me around town, giving me greater independence.",independent,0,1,1.0,REVISED:missed,REVISED:missed,FLAGGED,US3,,1.0,Son+GPT120b+DSv3+DSTerm,"[Sonnet] [functional] depends on ['US3'] – US4 requires an AV that can safely navigate a visually impaired person. This depends on the AV development and safe driving capabilities described in US3. (avoidable: False) || [GPT-120b] [functional] depends on ['US3'] – US4 needs the AV to have accurate perception and safe navigation, which is the focus of US3. (avoidable: False)"
original,A1,O1_mini,US10,"As a network administrator, I want the AV to maintain low-latency connectivity through IoT, so that it can communicate effectively for safe operations.",independent,0,0,0.0,REVISED:missed,OK,PARTNER,US2,,1.0,,
original,A1,O1_mini,US2,"As a fleet manager, I want to monitor AV performance data via IoT, so that I can proactively manage maintenance.
",independent,0,1,0.0,REVISED:missed,REVISED:missed,FLAGGED,"US10, US8",,0.75,Son+GPT120b+DSv3,"[Sonnet] [functional] depends on ['US10'] – Monitoring AV performance data via IoT (US2) depends on the IoT connectivity infrastructure described in US10. Without reliable low-latency connectivity, performance data cannot be transmitted to the fleet manager. (avoidable: False) || [GPT-120b] [functional] depends on ['US10'] – Monitoring performance data via IoT (US2) relies on a reliable low‑latency network (US10). (avoidable: False)"
original,A1,O1_mini,US8,"As a software engineer, I want the AV to efficiently process large-scale sensor data using AI and IoT, so that it makes informed decisions quickly.
",independent,0,1,0.0,REVISED:missed,IGNORE,PARTNER,US2,,0.25,Son,"[Sonnet] [data] depends on ['US1', 'US2'] – Processing large-scale sensor data (US8) depends on the sensor data generated by hazard detection systems (US1) and performance monitoring (US2). US8 requires data sources to exist before processing is meaningful. (avoidable: False)"
original,A1,Gemini_1.5_flash,US1,"As a driver, I want a car that uses AI and real-time data to react faster than humans in emergency situations, reducing my risk of accidents.",conflict_free,1,1,1.0,REVISED:missed,OK,PARTNER,US5,,1.0,GPT120b+Son+DSv3,"[Sonnet] [cross_cutting_concern] US1 requires AI and real-time data collection to react faster than humans in emergencies, implying continuous data gathering. US9 demands control over data collected by AVs and responsible use. The need for extensive real-time data to enable safety features (US1) conflicts with the data minimization and user control principl || [DeepSeek-V3.2] [cross_cutting_concern] US1 prioritizes AI-driven speed and autonomy ('react faster than humans') for safety, while US7 demands clear regulations and safety standards, which often involve compliance checks and human oversight that could slow down or restrict the AI's reaction time. This is a classic 'System autonomy vs. Safety controls' conflict. ("
original,A1,Gemini_1.5_flash,US1,"As a driver, I want a car that uses AI and real-time data to react faster than humans in emergency situations, reducing my risk of accidents.",conflict_free,1,1,1.0,REVISED:missed,OK,PARTNER,US7,,1.0,GPT120b+Son+DSv3,"[GPT-120b] [cross_cutting_concern] US1 wants the vehicle to react faster than humans in emergencies (performance optimisation), whereas US7 calls for clear regulations and safety standards that may limit the degree of autonomous, high‑speed decision‑making for safety compliance. This creates a potential conflict between speed and regulatory safety constraints || [DeepSeek-V3.2] [cross_cutting_concern] US1 prioritizes AI-driven speed and autonomy ('react faster than humans') for safety, while US7 demands clear regulations and safety standards, which often involve compliance checks and human oversight that could slow down or restrict the AI's reaction time. This is a classic 'System autonomy vs. Safety controls' conflict. ("
original,A1,Gemini_1.5_flash,US3,"As a car manufacturer, I want to develop AVs with advanced sensors and AI algorithms that can accurately perceive their surroundings and make safe driving decisions.",conflict_free,0,1,0.0,REVISED:missed,REVISED:missed,FLAGGED,"US7, US8",,0.667,Son+DSv3,"[Sonnet] [cross_cutting_concern] US3 focuses on developing AVs with advanced AI algorithms for autonomous decision-making (system autonomy). US8 requires robust security measures potentially including human oversight and control mechanisms to prevent hacking. Fully autonomous AI decision-making may conflict with security controls that require human interven || [DeepSeek-V3.2] [cross_cutting_concern] US3 focuses on developing advanced AI for autonomous decision-making, while US7 calls for external regulatory standards. The development of AI algorithms (means in US3) may conflict with or be constrained by the need to comply with specific, potentially conservative, safety regulations (ends in US7). (with ['US7'])"
original,A1,Gemini_1.5_flash,US3,"As a car manufacturer, I want to develop AVs with advanced sensors and AI algorithms that can accurately perceive their surroundings and make safe driving decisions.",conflict_free,0,1,0.0,REVISED:missed,REVISED:missed,PARTNER,US7,,0.667,Son+DSv3,"[Sonnet] [cross_cutting_concern] US3 focuses on developing AVs with advanced AI algorithms for autonomous decision-making (system autonomy). US8 requires robust security measures potentially including human oversight and control mechanisms to prevent hacking. Fully autonomous AI decision-making may conflict with security controls that require human interven || [DeepSeek-V3.2] [cross_cutting_concern] US3 focuses on developing advanced AI for autonomous decision-making, while US7 calls for external regulatory standards. The development of AI algorithms (means in US3) may conflict with or be constrained by the need to comply with specific, potentially conservative, safety regulations (ends in US7). (with ['US7'])"
original,A1,Gemini_1.5_flash,US3,"As a car manufacturer, I want to develop AVs with advanced sensors and AI algorithms that can accurately perceive their surroundings and make safe driving decisions.",conflict_free,0,1,0.0,REVISED:missed,REVISED:missed,PARTNER,US8,,0.667,Son+DSv3,[Sonnet] [cross_cutting_concern] US3 focuses on developing AVs with advanced AI algorithms for autonomous decision-making (system autonomy). US8 requires robust security measures potentially including human oversight and control mechanisms to prevent hacking. Fully autonomous AI decision-making may conflict with security controls that require human interven
